ID,Applicant_Name,Gender,District,State,Pincode,Ownership,GovtID_Type,ID_Number,Category,Load_Applied,Date_of_Application,Date_of_Approval,Modified_Date,Status,Reviewer_ID,Reviewer_Name,Reviewer_ID2,Reviewer_Name2,Reviewer_Comments
18,NEHA SHAH,Male,East,KARNATA,560009,INDIVIDUAL,PAN,HLOHZ9666A,Commercial,11,17/04/2022,26/04/2022,05/05/2022,Rejected,1311,Sudhansh Dubey,1311,Sudhansh Dubey,KYC failed
19,RAJIV NAICKER,Male,East,KARNATA,560037,INDIVIDUAL,PAN,FQGMX1832C,Commercial,5,15/02/2022,16/03/2022,21/03/2022,Connection Released,1678,Manoj Parihar,1678,Manoj Parihar,Installation completed
20,MANJULA HEGDE,Female,North,KARNATA,560015,INDIVIDUAL,VOTER_ID,OVP3484601,Commercial,3,12/02/2022,14/03/2022,16/03/2022,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
21,MAHESH MEHTA,Male,East,KARNATA,560053,INDIVIDUAL,VOTER_ID,WZV7917152,Residential,3,25/01/2024,24/02/2024,09/03/2024,Rejected,1460,HEM CHAND,1460,HEM CHAND,KYC failed
22,MELISSA IYER,Female,North,KARNATA,560061,INDIVIDUAL,VOTER_ID,VLH4818418,Residential,1,07/11/2023,22/11/2023,01/12/2023,Connection Released,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation completed
23,SHAUNA MUDALIAR,Female,East,KARNATA,560004,INDIVIDUAL,PAN,EZGCL6139N,Residential,7,14/08/2023,20/08/2023,03/09/2023,Connection Released,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation completed
24,SAMIR RODRIGUES,Male,East,KARNATA,560041,INDIVIDUAL,PAN,NRISO4143N,Commercial,11,06/02/2024,,16/02/2024,Pending,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation pending
25,RAVI NAICKER,Male,East,KARNATA,560037,INDIVIDUAL,PASSPORT,F8801207,Commercial,8,23/11/2023,13/12/2023,19/12/2023,Connection Released,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation completed
26,KARTIK MURTHY,Female,North,KARNATA,560031,JOINT,VOTER_ID,UDB8971465,Residential,8,01/03/2023,,11/03/2023,Pending,1460,HEM CHAND,1460,HEM CHAND,Installation pending
27,SANJAY FERNANDEZ,Male,South,KARNATA,560001,INDIVIDUAL,PASSPORT,D3950888,Commercial,1,25/07/2023,02/08/2023,17/08/2023,Connection Released,1460,HEM CHAND,1460,HEM CHAND,Installation completed
28,VINOD GOUNDER,Female,West,KARNATA,560065,JOINT,PASSPORT,C8963715,Commercial,5,09/02/2024,05/03/2024,14/03/2024,Connection Released,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation completed
29,REKHA MEHTA,Female,West,KARNATA,560010,JOINT,VOTER_ID,HIO3321531,Residential,4,28/01/2023,,01/02/2023,Pending,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation pending
30,LAKSHMI GEORGE,Female,West,KARNATA,560008,INDIVIDUAL,PASSPORT,G1327691,Commercial,8,07/01/2022,21/01/2022,03/02/2022,Rejected,2456,RAHUL SINGH,2456,RAHUL SINGH,KYC failed
31,GEETA JOSHI,Female,West,KARNATA,560063,INDIVIDUAL,PASSPORT,F7783308,Residential,8,11/05/2022,02/06/2022,03/06/2022,Rejected,2456,RAHUL SINGH,2456,RAHUL SINGH,KYC failed
32,ROBERT RODRIGUES,Male,West,KARNATA,560024,INDIVIDUAL,PAN,JFITJ7906I,Residential,8,20/01/2022,,21/01/2022,Pending,1678,Manoj Parihar,1678,Manoj Parihar,Documents verification in progress
33,PRAKASH NAIR,Male,North,KARNATA,560032,INDIVIDUAL,AADHAR,2.70172E+11,Residential,3,30/04/2023,,10/05/2023,Pending,1460,HEM CHAND,1460,HEM CHAND,Installation pending
34,ARUN SHAH,Female,South,KARNATA,560015,INDIVIDUAL,PAN,CAIRY7498W,Residential,2,30/08/2023,,03/09/2023,Pending,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation pending
35,JAYA SWAMY,Male,North,KARNATA,560045,JOINT,PAN,BQAKM8102L,Commercial,12,06/06/2022,04/07/2022,21/07/2022,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Documents verification in progress
36,VIJAY RODRIGUES,Female,East,KARNATA,560032,INDIVIDUAL,PAN,WGMPJ1470P,Commercial,3,15/05/2023,14/06/2023,23/06/2023,Connection Released,1678,Manoj Parihar,1678,Manoj Parihar,Installation completed
37,LATHA BHAT,Male,South,KARNATA,560011,INDIVIDUAL,PASSPORT,H5031966,Commercial,11,30/12/2023,29/01/2024,30/01/2024,Approved,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Documents verification in progress
38,PETER FERNANDEZ,Male,East,KARNATA,560048,JOINT,PAN,LTISH5118H,Residential,12,17/07/2022,14/08/2022,01/09/2022,Approved,1460,HEM CHAND,1460,HEM CHAND,Installation pending
39,PAUL NAIDU,Female,East,KARNATA,560013,INDIVIDUAL,PAN,FEANH1893R,Commercial,12,10/05/2022,,18/05/2022,Pending,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Documents verification in progress
40,KRISHNA KAUR,Female,West,KARNATA,560057,JOINT,VOTER_ID,ZGW2914064,Residential,7,19/05/2023,13/06/2023,15/06/2023,Connection Released,1460,HEM CHAND,1460,HEM CHAND,Installation completed
41,AMIT RAJAN,Female,North,KARNATA,560032,INDIVIDUAL,PASSPORT,D9767312,Commercial,8,30/03/2023,22/04/2023,06/05/2023,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
42,PADMA IYER,Male,South,KARNATA,560034,INDIVIDUAL,VOTER_ID,GOE7853787,Commercial,12,01/09/2023,07/09/2023,15/09/2023,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Documents verification in progress
43,ARUN KAMATH,Male,South,KARNATA,560034,INDIVIDUAL,PASSPORT,B4771676,Residential,5,26/04/2024,02/05/2024,08/05/2024,Connection Released,1678,Manoj Parihar,1678,Manoj Parihar,Installation completed
44,KAVYA MENON,Female,East,KARNATA,560052,JOINT,PASSPORT,H2349590,Residential,7,23/01/2024,05/02/2024,06/02/2024,Approved,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation pending
45,SHANTI RAJAN,Male,East,KARNATA,560006,INDIVIDUAL,PASSPORT,H5666692,Residential,10,23/03/2023,,31/03/2023,Pending,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation pending
46,SHAUNA SOUZA,Female,East,KARNATA,560014,INDIVIDUAL,PAN,KMRKT1601O,Residential,6,16/09/2022,15/10/2022,28/10/2022,Approved,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation pending
47,SARALA THEVAR,Female,West,KARNATA,560007,INDIVIDUAL,PAN,QMLBG3146J,Commercial,12,12/05/2023,06/06/2023,26/06/2023,Connection Released,1460,HEM CHAND,1460,HEM CHAND,Installation completed
48,ALVARO NAICKER,Male,West,KARNATA,560012,INDIVIDUAL,AADHAR,8.09174E+11,Residential,8,04/01/2024,31/01/2024,09/02/2024,Approved,2456,RAHUL SINGH,2456,RAHUL SINGH,Documents verification in progress
49,POOJA MEHTA,Female,South,KARNATA,560050,INDIVIDUAL,VOTER_ID,WHU7961578,Commercial,9,01/10/2022,,06/10/2022,Pending,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
50,ALEX HEGDE,Female,East,KARNATA,560043,JOINT,PASSPORT,F4165061,Residential,10,28/01/2023,26/02/2023,12/03/2023,Connection Released,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation completed
51,RAJIV NAIDU,Female,West,KARNATA,560020,JOINT,AADHAR,6.50298E+11,Commercial,2,14/06/2024,,16/06/2024,Pending,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation pending
52,DAVID GOWDA,Female,South,KARNATA,560010,JOINT,PAN,ISQWW9742M,Commercial,11,06/01/2024,,14/01/2024,Pending,4510,VINOD GUPTA,4510,VINOD GUPTA,Documents verification in progress
53,SUNIL NAIR,Male,East,KARNATA,560030,INDIVIDUAL,PASSPORT,B2686231,Commercial,3,12/12/2023,17/12/2023,19/12/2023,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
54,ROCCO MATHEW,Female,West,KARNATA,560019,INDIVIDUAL,PASSPORT,C3851852,Residential,2,17/09/2023,,27/09/2023,Pending,1460,HEM CHAND,1460,HEM CHAND,Installation pending
55,RADHA GOWDA,Male,West,KARNATA,560033,JOINT,PAN,RXMHO2210O,Commercial,10,03/11/2022,,10/11/2022,Pending,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
56,JAYA GILL,Male,West,KARNATA,560062,INDIVIDUAL,VOTER_ID,JJH5953150,Residential,11,10/02/2023,05/03/2023,07/03/2023,Approved,4510,VINOD GUPTA,4510,VINOD GUPTA,Documents verification in progress
57,MADHU KAUR,Male,East,KARNATA,560029,INDIVIDUAL,PAN,RSRVQ1645J,Commercial,1,17/08/2023,26/08/2023,29/08/2023,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Documents verification in progress
58,RAJIV SOUZA,Male,South,KARNATA,560017,JOINT,PAN,VGVMU6549Z,Residential,8,19/03/2022,31/03/2022,13/04/2022,Connection Released,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation completed
59,JASON FERNANDEZ,Male,East,KARNATA,560016,JOINT,PAN,RRPVY2775V,Residential,8,26/01/2022,,04/02/2022,Pending,1678,Manoj Parihar,1678,Manoj Parihar,Documents verification in progress
60,BHAVANA NAIR,Female,East,KARNATA,560053,INDIVIDUAL,VOTER_ID,BAZ2948178,Residential,4,27/06/2024,14/07/2024,29/07/2024,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Documents verification in progress
61,VENKAT GOWDA,Female,North,KARNATA,560063,JOINT,PAN,AJLYW2627V,Commercial,9,23/10/2023,09/11/2023,18/11/2023,Approved,1460,HEM CHAND,1460,HEM CHAND,Installation pending
62,JAYA KAMATH,Male,South,KARNATA,560003,INDIVIDUAL,PAN,GDOBT4394S,Residential,4,03/12/2022,,13/12/2022,Pending,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation pending
63,DINESH GOWDA,Male,East,KARNATA,560023,INDIVIDUAL,AADHAR,1.13451E+11,Commercial,4,26/08/2023,05/09/2023,14/09/2023,Approved,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation pending
64,MANJULA SOUZA,Male,North,KARNATA,560061,JOINT,PAN,NCNYB9543J,Commercial,11,01/02/2022,21/02/2022,06/03/2022,Connection Released,2456,RAHUL SINGH,2456,RAHUL SINGH,Installation completed
65,GEETA HEGDE,Male,North,KARNATA,560042,INDIVIDUAL,AADHAR,4.0119E+11,Commercial,7,04/09/2023,23/09/2023,10/10/2023,Approved,4510,VINOD GUPTA,4510,VINOD GUPTA,Documents verification in progress
66,BRIAN MENON,Male,West,KARNATA,560058,INDIVIDUAL,PASSPORT,F8608449,Commercial,7,18/01/2024,05/02/2024,16/02/2024,Connection Released,1678,Manoj Parihar,1678,Manoj Parihar,Installation completed
67,ALEX NAIDU,Male,North,KARNATA,560011,INDIVIDUAL,PASSPORT,B7251976,Residential,9,03/03/2022,25/03/2022,12/04/2022,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
68,LAKSHMI MATHEW,Female,North,KARNATA,560037,JOINT,PAN,CNEMW6736R,Commercial,2,20/02/2024,03/03/2024,17/03/2024,Approved,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation pending
69,RAJESH BHAT,Male,South,KARNATA,560035,JOINT,PAN,JEDRB1502C,Residential,7,06/03/2023,16/03/2023,28/03/2023,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Documents verification in progress
70,VIKRAM RAJAN,Male,North,KARNATA,560020,INDIVIDUAL,AADHAR,1.88794E+11,Commercial,8,09/11/2023,03/12/2023,18/12/2023,Approved,2456,RAHUL SINGH,2456,RAHUL SINGH,Documents verification in progress
71,PAUL MUDALIAR,Male,East,KARNATA,560056,INDIVIDUAL,PAN,RPNIF1897A,Residential,5,05/08/2022,,10/08/2022,Pending,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
72,MICHELLE KUMAR,Female,West,KARNATA,560023,INDIVIDUAL,PASSPORT,D9393009,Commercial,2,11/02/2023,,12/02/2023,Pending,2456,RAHUL SINGH,2456,RAHUL SINGH,Documents verification in progress
73,ANITA NAIR,Female,West,KARNATA,560052,JOINT,PAN,CAIUQ6928C,Commercial,2,07/09/2022,24/09/2022,11/10/2022,Approved,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Documents verification in progress
74,ALVARO GEORGE,Male,East,KARNATA,560022,INDIVIDUAL,AADHAR,6.60625E+11,Residential,6,26/12/2022,,29/12/2022,Pending,1460,HEM CHAND,1460,HEM CHAND,Documents verification in progress
75,NICOLE SHAH,Male,South,KARNATA,560020,INDIVIDUAL,VOTER_ID,YQM8531380,Commercial,11,20/11/2022,27/11/2022,13/12/2022,Connection Released,2456,RAHUL SINGH,2456,RAHUL SINGH,Installation completed
76,ROHAN BHAT,Male,East,KARNATA,560065,INDIVIDUAL,PAN,MAJHQ2479T,Commercial,8,18/08/2023,17/09/2023,19/09/2023,Approved,2456,RAHUL SINGH,2456,RAHUL SINGH,Installation pending
77,ADELE SWAMY,Female,South,KARNATA,560008,JOINT,AADHAR,4.77259E+11,Residential,9,24/10/2023,05/11/2023,20/11/2023,Connection Released,2456,RAHUL SINGH,2456,RAHUL SINGH,Installation completed
78,SAMIR JACOB,Female,West,KARNATA,560053,JOINT,AADHAR,7.94879E+11,Commercial,2,04/12/2022,30/12/2022,12/01/2023,Connection Released,1678,Manoj Parihar,1678,Manoj Parihar,Installation completed
79,PUSHPA SWAMY,Male,East,KARNATA,560011,INDIVIDUAL,PAN,IRRDS2388J,Commercial,11,21/03/2024,30/03/2024,16/04/2024,Approved,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Documents verification in progress
80,KARTIK JACOB,Male,East,KARNATA,560040,INDIVIDUAL,VOTER_ID,ITE3307963,Residential,2,30/10/2022,,01/11/2022,Pending,4510,VINOD GUPTA,4510,VINOD GUPTA,Documents verification in progress
81,SARALA GEORGE,Male,West,KARNATA,560020,INDIVIDUAL,VOTER_ID,VUV3777286,Commercial,1,25/02/2023,25/03/2023,02/04/2023,Approved,2456,RAHUL SINGH,2456,RAHUL SINGH,Documents verification in progress
82,HEMA HEGDE,Male,South,KARNATA,560040,JOINT,VOTER_ID,JYZ8745704,Commercial,7,30/05/2023,09/06/2023,16/06/2023,Approved,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation pending
83,SABINA REDDY,Female,East,KARNATA,560014,INDIVIDUAL,PAN,CELNV2502H,Commercial,6,28/01/2022,14/02/2022,03/03/2022,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
84,AVERY PILLAI,Female,South,KARNATA,560004,JOINT,AADHAR,8.85288E+11,Commercial,3,21/05/2022,10/06/2022,15/06/2022,Connection Released,2456,RAHUL SINGH,2456,RAHUL SINGH,Installation completed
85,PADMA KUMAR,Male,North,KARNATA,560033,INDIVIDUAL,VOTER_ID,OSN2865405,Commercial,4,05/11/2022,17/11/2022,01/12/2022,Connection Released,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation completed
86,ANTHONY MENON,Female,North,KARNATA,560031,INDIVIDUAL,PAN,LPGKR2402Q,Commercial,2,23/06/2023,23/07/2023,09/08/2023,Approved,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation pending
87,AVERY NAIDU,Male,West,KARNATA,560048,JOINT,AADHAR,9.64822E+11,Residential,6,04/09/2022,,06/09/2022,Pending,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation pending
88,MARIA PATEL,Female,East,KARNATA,560023,JOINT,PASSPORT,C3262450,Residential,12,05/03/2024,11/03/2024,21/03/2024,Rejected,1460,HEM CHAND,1460,HEM CHAND,KYC failed
89,ROHAN VERMA,Male,East,KARNATA,560040,JOINT,PASSPORT,E1614394,Residential,5,01/01/2023,,02/01/2023,Pending,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
90,MICHELLE JACOB,Female,West,KARNATA,560057,JOINT,PAN,ZMMYN2353X,Commercial,2,17/03/2023,,20/03/2023,Pending,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation pending
91,ADELE IYER,Male,East,KARNATA,560038,JOINT,PASSPORT,G3795835,Commercial,6,03/04/2023,19/04/2023,09/05/2023,Connection Released,2456,RAHUL SINGH,2456,RAHUL SINGH,Installation completed
92,HARISH REDDY,Male,West,KARNATA,560047,INDIVIDUAL,AADHAR,8.45639E+11,Commercial,1,10/05/2022,08/06/2022,20/06/2022,Connection Released,1678,Manoj Parihar,1678,Manoj Parihar,Installation completed
93,MEENA PATEL,Male,West,KARNATA,560048,JOINT,PASSPORT,B3310140,Commercial,7,18/11/2022,,22/11/2022,Pending,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Documents verification in progress
94,MANJULA SINGH,Female,West,KARNATA,560016,JOINT,PAN,SFPSZ4279D,Residential,2,08/04/2023,05/05/2023,20/05/2023,Connection Released,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation completed
95,VINOD MATHEW,Male,East,KARNATA,560039,INDIVIDUAL,VOTER_ID,UND4371891,Residential,4,20/03/2024,05/04/2024,23/04/2024,Approved,4510,VINOD GUPTA,4510,VINOD GUPTA,Documents verification in progress
96,VIJAY NAICKER,Male,North,KARNATA,560009,JOINT,PASSPORT,H9819709,Commercial,7,23/04/2024,02/05/2024,13/05/2024,Approved,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Documents verification in progress
97,VIJAY GOUNDER,Female,South,KARNATA,560024,INDIVIDUAL,PASSPORT,A3083077,Residential,5,18/06/2022,15/07/2022,23/07/2022,Connection Released,1678,Manoj Parihar,1678,Manoj Parihar,Installation completed
98,JAYA PILLAI,Female,South,KARNATA,560036,INDIVIDUAL,PAN,PCQPP3804V,Commercial,10,12/02/2022,,13/02/2022,Pending,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Documents verification in progress
99,BHAVANA RAJAN,Female,South,KARNATA,560054,INDIVIDUAL,PASSPORT,E6068298,Commercial,4,04/04/2024,,11/04/2024,Pending,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
100,JAMES REDDY,Male,West,KARNATA,560054,JOINT,PASSPORT,D6707484,Residential,6,01/06/2024,,07/06/2024,Pending,2456,RAHUL SINGH,2456,RAHUL SINGH,Documents verification in progress
101,SUDHIR JACOB,Male,East,KARNATA,560031,JOINT,AADHAR,5.9507E+11,Residential,3,10/04/2022,27/04/2022,17/05/2022,Connection Released,2456,RAHUL SINGH,2456,RAHUL SINGH,Installation completed
102,MELISSA THOMAS,Female,South,KARNATA,560021,JOINT,PASSPORT,H6176450,Commercial,1,03/04/2022,24/04/2022,09/05/2022,Rejected,1460,HEM CHAND,1460,HEM CHAND,KYC failed
103,RADHA MATHEW,Male,North,KARNATA,560037,JOINT,PASSPORT,E1137194,Residential,7,18/05/2022,,24/05/2022,Pending,2456,RAHUL SINGH,2456,RAHUL SINGH,Installation pending
104,JESSICA FERNANDEZ,Male,South,KARNATA,560047,JOINT,AADHAR,6.5571E+11,Commercial,9,14/10/2022,,24/10/2022,Pending,4510,VINOD GUPTA,4510,VINOD GUPTA,Documents verification in progress
105,DANIEL IYER,Female,East,KARNATA,560044,JOINT,VOTER_ID,FNN1760064,Residential,3,01/01/2024,21/01/2024,07/02/2024,Approved,2456,RAHUL SINGH,2456,RAHUL SINGH,Installation pending
106,RAJESH MUDALIAR,Male,East,KARNATA,560041,INDIVIDUAL,PASSPORT,E6643410,Commercial,12,31/07/2023,05/08/2023,17/08/2023,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
107,SURESH KRISHNAN,Female,North,KARNATA,560061,JOINT,VOTER_ID,SPE7378535,Residential,11,06/09/2022,03/10/2022,07/10/2022,Connection Released,1460,HEM CHAND,1460,HEM CHAND,Installation completed
108,KAVYA THOMAS,Female,South,KARNATA,560053,INDIVIDUAL,PASSPORT,H2044906,Residential,9,01/08/2022,27/08/2022,12/09/2022,Approved,4510,VINOD GUPTA,4510,VINOD GUPTA,Documents verification in progress
109,ROCKY SINGH,Female,East,KARNATA,560046,JOINT,PASSPORT,D5135904,Commercial,9,02/11/2022,16/11/2022,26/11/2022,Connection Released,1460,HEM CHAND,1460,HEM CHAND,Installation completed
110,ROCKY NAIDU,Female,East,KARNATA,560037,INDIVIDUAL,PASSPORT,G6790398,Residential,5,13/02/2022,12/03/2022,15/03/2022,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Documents verification in progress
111,PRAKASH SHAH,Female,South,KARNATA,560026,JOINT,PAN,DQPGR9700H,Residential,1,13/04/2022,10/05/2022,26/05/2022,Approved,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation pending
112,MICHAEL NAICKER,Male,West,KARNATA,560061,JOINT,VOTER_ID,THH1992583,Residential,11,11/08/2023,08/09/2023,10/09/2023,Connection Released,1460,HEM CHAND,1460,HEM CHAND,Installation completed
113,SACHIN SINGH,Male,West,KARNATA,560064,INDIVIDUAL,PAN,WAOCZ5662O,Commercial,3,21/05/2024,03/06/2024,10/06/2024,Approved,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Documents verification in progress
114,MELISSA KAMATH,Female,South,KARNATA,560002,JOINT,PAN,OTEWX8007Q,Commercial,2,15/02/2023,,18/02/2023,Pending,1460,HEM CHAND,1460,HEM CHAND,Installation pending
115,ADELE MEHTA,Male,East,KARNATA,560050,INDIVIDUAL,PASSPORT,E6530194,Commercial,10,11/01/2024,24/01/2024,05/02/2024,Approved,1460,HEM CHAND,1460,HEM CHAND,Installation pending
116,VINOD MENON,Female,East,KARNATA,560021,JOINT,PAN,RQYJF3188P,Residential,8,05/02/2024,21/02/2024,06/03/2024,Rejected,4510,VINOD GUPTA,4510,VINOD GUPTA,KYC failed
117,HEMA THEVAR,Male,South,KARNATA,560011,JOINT,PAN,COBON9792E,Residential,6,24/05/2024,01/06/2024,08/06/2024,Approved,4510,VINOD GUPTA,4510,VINOD GUPTA,Documents verification in progress
118,JASON MUDALIAR,Female,North,KARNATA,560059,INDIVIDUAL,PASSPORT,H1968662,Commercial,11,06/04/2024,11/04/2024,24/04/2024,Approved,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
119,RAJIV GUPTA,Male,North,KARNATA,560055,JOINT,AADHAR,1.76855E+11,Commercial,1,21/10/2022,19/11/2022,24/11/2022,Approved,2456,RAHUL SINGH,2456,RAHUL SINGH,Documents verification in progress
120,TORI HEGDE,Female,West,KARNATA,560011,INDIVIDUAL,PAN,DZKDZ1056Y,Residential,5,20/04/2023,,29/04/2023,Pending,2456,RAHUL SINGH,2456,RAHUL SINGH,Installation pending
121,KIRAN JOSHI,Male,West,KARNATA,560045,INDIVIDUAL,PAN,EWTAR1256H,Residential,2,14/04/2022,03/05/2022,23/05/2022,Approved,1311,Sudhansh Dubey,1311,Sudhansh Dubey,Installation pending
122,MANJULA PATEL,Female,West,KARNATA,560030,INDIVIDUAL,AADHAR,6.50358E+11,Commercial,4,15/04/2024,,25/04/2024,Pending,1678,Manoj Parihar,1678,Manoj Parihar,Installation pending
123,DINO GILL,Male,South,KARNATA,560053,JOINT,PAN,BYWXQ7999R,Commercial,1,19/12/2022,14/01/2023,27/01/2023,Rejected,4510,VINOD GUPTA,4510,VINOD GUPTA,KYC failed
124,ARUN SOUZA,Female,South,KARNATA,560039,JOINT,VOTER_ID,TMW6045519,Residential,8,01/03/2022,19/03/2022,06/04/2022,Approved,4510,VINOD GUPTA,4510,VINOD GUPTA,Installation pending
